global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,182,2766,76,146,0.5882872735602483,0.4699437618255615,0.18261805156384237
6553,192,2799,43,136,0.6629264545178385,0.6819031834602356,0.19508154007373965
6978,258,2692,150,70,0.6674028876833423,0.9267706274986267,0.17133753650767644
10467,228,2757,85,100,0.6791765495466423,0.3337903320789337,0.18925994182140707
13106,214,2783,59,114,0.6857879093069619,0.0012686896370723844,0.1898600333701627
13956,245,2753,89,83,0.7099280456814236,0.011132070794701576,0.22342097510746298
17445,212,2797,45,116,0.703562108360252,0.001117437845095992,0.2515248521204357
19659,215,2779,63,113,0.6819473357208504,0.017611972987651825,0.19552977770914134
20934,226,2768,74,102,0.6898457536264159,0.5040573477745056,0.32310387538734087
24423,207,2782,60,121,0.6689435045964015,0.5307838320732117,0.25453943616885594
26212,202,2789,53,126,0.6687794085609922,0.04000081494450569,0.3037928354235961
27912,231,2757,85,97,0.685598867738337,0.0001864455407485366,0.37409676758609056
31401,214,2773,69,114,0.6709696359449013,0.0005501048290170729,0.40061034608312934
32765,191,2795,47,137,0.6539215443695626,0.0007843303610570729,0.36744390944124083
34890,220,2762,80,108,0.6686152655613461,0.00048250515828840435,0.4143705497220617
38379,211,2791,51,117,0.6917076537199648,0.0003471278469078243,0.3866537802740472
39318,208,2788,54,120,0.680423117585725,2.773560117930174e-05,0.43052487335195516
41868,217,2776,66,111,0.6818668366188523,3.500171806081198e-05,0.46655675018036635
45357,214,2778,64,114,0.6782855851216711,0.0003203114902134985,0.4044924381654989
45871,215,2782,60,113,0.6864438391116848,0.00018164725042879581,0.4577342158483717
48846,237,2762,80,91,0.7049941680566929,1.6510331988683902e-05,0.46014187693173275
52335,204,2793,49,124,0.6796221413464666,7.606352301081643e-05,0.5000910712485729
52424,208,2796,46,120,0.6932647146865111,0.0001831171102821827,0.49034400232794584
55824,221,2779,63,107,0.6949144867703418,0.00010235774971079081,0.47472616802786444
58977,207,2789,53,121,0.6798068290402675,8.304878974740859e-06,0.5150219407215005
59313,231,2754,88,97,0.681657662544689,0.00012001058348687366,0.5124530770129009
62802,214,2779,63,114,0.679770873129865,1.1309912224533036e-05,0.4514936725051601
65530,211,2792,50,117,0.6933022502085979,8.980393431556877e-06,0.5262869611338297
66291,240,2754,88,88,0.700743207291327,0.0450381301343441,0.5025355313282696
69780,213,2777,65,115,0.6746238345224919,1.566083483339753e-05,0.5199053979355149
72083,214,2784,58,114,0.6873114846406512,7.947254744067322e-06,0.5326174227232523
73269,224,2773,69,104,0.6926258487481569,0.15626904368400574,0.5032956559170402
76758,218,2780,62,110,0.6899369501271679,1.52287793753203e-05,0.5323792754219785
78636,217,2778,64,111,0.6848063036199509,7.152531907195225e-06,0.5370889249599028
